Store ID,SKU,Product Name,Price,Date
STORE001,SKU001,Laptop Computer,999.99,2026-03-27
STORE001,SKU002,Wireless Mouse,29.99,2026-03-27
STORE001,SKU003,USB Keyboard,49.99,2026-03-27
STORE001,SKU004,Monitor 24",199.99,2026-03-27
STORE001,SKU005,Webcam HD,79.99,2026-03-27
STORE002,SKU001,Laptop Computer,899.99,2026-03-27
STORE002,SKU002,Wireless Mouse,24.99,2026-03-27
STORE002,SKU003,USB Keyboard,44.99,2026-03-27
STORE002,SKU004,Monitor 24",189.99,2026-03-27
STORE002,SKU005,Webcam HD,74.99,2026-03-27
STORE003,SKU001,Laptop Computer,1099.99,2026-03-27
STORE003,SKU002,Wireless Mouse,34.99,2026-03-27
STORE003,SKU003,USB Keyboard,54.99,2026-03-27
STORE003,SKU004,Monitor 24",219.99,2026-03-27
STORE003,SKU005,Webcam HD,84.99,2026-03-27
