Store ID,SKU,Product Name,Price,Date
STORE002,SKU010,Mechanical Keyboard,89.99,2026-03-28
STORE002,SKU011,Gaming Mouse,59.99,2026-03-28
STORE002,SKU012,27 inch 4K Monitor,349.99,2026-03-28
STORE002,SKU013,USB-C Hub,39.99,2026-03-28
STORE002,SKU014,Noise Cancelling Headphones,199.99,2026-03-28
STORE002,SKU015,Laptop Stand,45.99,2026-03-28
STORE002,SKU016,Wireless Charger,24.99,2026-03-28
STORE002,SKU017,External SSD 1TB,89.99,2026-03-28
STORE002,SKU018,Webcam 4K,129.99,2026-03-28
STORE002,SKU019,Desk Lamp LED,34.99,2026-03-28
STORE002,SKU020,Bluetooth Speaker,74.99,2026-03-28
STORE002,SKU021,Ergonomic Chair,299.99,2026-03-28
STORE002,SKU022,Mouse Pad XL,19.99,2026-03-28
STORE002,SKU023,HDMI Cable 2m,12.99,2026-03-28
STORE002,SKU024,Power Bank 20000mAh,49.99,2026-03-28
STORE002,SKU001,Laptop Computer,1049.99,2026-03-28
STORE002,SKU002,Wireless Mouse,34.99,2026-03-28
STORE002,SKU003,USB Keyboard,54.99,2026-03-28
STORE002,SKU004,Monitor 24 inch,219.99,2026-03-28
STORE002,SKU005,Webcam HD,84.99,2026-03-28
